FID,ID,GEOMETRIE,NAME,ANGEBOT,GROESSE_M2,HOMEPAGE,NUMMER_INTERN
spielplatz.gisdb.21992,gisdb.21992,POINT (47.79789830865488 13.058566770601667),Spielplatz Volksgarten,"Spielgeräte, Fussball (Soccer-Käfig), Streetball/Basketball, WC",5000,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_innere_stadt/volksgarten_406939.htm,3116
spielplatz.gisdb.21993,gisdb.21993,POINT (47.798328292868156 13.076506683866064),Spielplatz Preuschenpark,"Spielgeräte, Fussball, Streetball/Basketball, Tischtennis, Trinkwasser, WC",20000,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_in_aigen/preuschenpark_406965.htm,3117
spielplatz.gisdb.21994,gisdb.21994,POINT (47.820768219672665 13.030116947856738),Spielplatz Glanspitz-Areal,"Spielgeräte, Fussball, Tischtennis, Boule, Slackline",4000,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_lehen_nord_glanspitz/glanspitz_areal_406925.htm,3118
spielplatz.gisdb.22026,gisdb.22026,POINT (47.80651829262365 13.024956948992594),Spielplatz Karl-Adrian-Straße,"Spielgeräte, Fussball, Streetball/Basketball, Trinkwasser",700,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_maxglan/karl_adrian_strasse_407032.htm,4244
spielplatz.gisdb.22027,gisdb.22027,POINT (47.78305841401188 13.014796958958598),Spielplatz Kendlerstraße / Rollbahn,"Spielgeräte, Streetball/Basketball, Tischtennis, Volleyball, Skating",3000,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_maxglan/kendlerstrasse_rollbahn_407034.htm,4246
spielplatz.gisdb.22028,gisdb.22028,POINT (47.77991843505937 13.007176990800982),Spielplatz Kendlerstraße / Kräutlerweg,Spielgeräte,2100,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_maxglan/kendlerstrasse_kraeutlerweg_407033.htm,4248
spielplatz.gisdb.22029,gisdb.22029,POINT (47.81139827061551 13.022836967559961),Spielplatz Lehener Straße,"Spielgeräte, Tischtennis",10100,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_lehen_sued/lehener_strasse_407010.htm,4250
spielplatz.gisdb.22049,gisdb.22049,POINT (47.824148189216125 13.048546863662581),Spielplatz Schopperstraße,"Spielgeräte, Fussball",5200,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_itzling/schopperstrasse_406986.htm,4280
spielplatz.gisdb.22050,gisdb.22050,POINT (47.81413822044906 13.0711067367867),Spielplatz Schulstraße,Spielgeräte,2700,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_gnigl/schulstrasse_406996.htm,4282
spielplatz.gisdb.22051,gisdb.22051,POINT (47.81471825250299 13.025496960187063),Spielplatz Schumacherstraße,"Spielgeräte, Fussball (Soccer-Käfig), Streetball/Basketball, Tischtennis",8200,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_lehen_nord_glanspitz/schumacherstrasse_fussballwiese_406927.htm,4283
spielplatz.gisdb.22052,gisdb.22052,POINT (47.78012837808703 13.080296634794676),Spielplatz Slavi-Soucek-Straße,"Spielgeräte, Fussball, Streetball/Basketball, Tischtennis",5600,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_in_aigen/slavi_soucek_strasse_406967.htm,4285
spielplatz.gisdb.22053,gisdb.22053,POINT (47.77815836501146 13.064556746326625),Spielpark Süd,"Spielgeräte, Streetball/Basketball, Tischtennis, Spielwasser, Trinkwasser, WC",22200,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_morzg/spielpark_sued_407048.htm,4286
spielplatz.gisdb.22054,gisdb.22054,POINT (47.809338293893234 13.005467048788699),Spielplatz Taxhamgasse,Spielgeräte,3300,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_taxham/taxhamgasse_407077.htm,4291
spielplatz.gisdb.22055,gisdb.22055,POINT (47.80492831737265 13.002697054851316),Spielplatz Teisenberggasse,"Spielgeräte, Fußball, Streetball/Basketball",5500,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_taxham/teisenberggasse_407072.htm,4292
spielplatz.gisdb.22056,gisdb.22056,POINT (47.825468185637234 13.04486688383577),Spielplatz Veronaplatz,Spielgeräte,400,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_itzling/veronaplatz_406980.htm,4293
spielplatz.gisdb.22057,gisdb.22057,POINT (47.80697829815215 13.014826999163658),Spielplatz Julius Welser Straße,Spielgeräte,1100,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_maxglan/julius_welser_strasse_407031.htm,4295
spielplatz.gisdb.22058,gisdb.22058,POINT (47.82191823111835 13.007887058221975),Spielplatz Umwelttunnel Liefering,"Spielgeräte, Fussball, Streetball/Basketball, Trinkwasser, WC",14500,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_in_liefering/umwelttunnel_liefering_406954.htm,4296
spielplatz.gisdb.22059,gisdb.22059,POINT (47.77724838861627 13.084766608170751),Spielplatz Sonnenpark,Spielgeräte,1500,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_in_aigen/sonnenpark_202700.htm,4297
spielplatz.gisdb.22060,gisdb.22060,POINT (47.795138280466325 13.113006500577058),Spielplatz Zistlalm,Spielgeräte,2000,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplatz_auf_der_zistelalm_409402.htm,4298
spielplatz.gisdb.22061,gisdb.22061,POINT (47.82291819738016 13.045656875686234),Spielplatz Kirchenstraße,Spielgeräte,2200,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_itzling/kirchenstrasse_409824.htm,4299
spielplatz.gisdb.22062,gisdb.22062,POINT (47.818518203504105 13.06552677136845),Spielplatz Aglassingerstraße,Spielgeräte,440,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_gnigl/aglassingerstrasse_409798.htm,4300
spielplatz.gisdb.22063,gisdb.22063,POINT (47.80834827932336 13.030756923796368),Spielplatz Wallnergasse,"Spielgeräte, Fussball (Soccer-Käfig)",650,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_lehen_sued/wallnergasse_409813.htm,4301
spielplatz.gisdb.22064,gisdb.22064,POINT (47.7754884467553 13.019906921287902),Spielplatz Moosstraße / Schwarzgrabenweg,"Spielgeräte, Spielwiese",3500,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_leopoldskron/moosstrasse_schwarzgrabenweg_385531.htm,4302
